"caller","col1","callee"
"wctomb","calls","__builtin_object_size"
"wctomb","calls","__wctomb_chk"
"wctomb","calls","__wctomb_alias"
"realpath","calls","__builtin_constant_p"
"realpath","calls","__builtin_object_size"
"realpath","calls","__realpath_alias"
"realpath","calls","__realpath_chk"
"realpath","calls","__realpath_chk_warn"
"__ia32_sys_ioprio_get","calls","__se_sys_ioprio_get"
"__ia32_sys_ioprio_get","calls","sys_ni_syscall"
"__ia32_sys_ioprio_get","calls","__se_sys_ioprio_get"
"__ia32_sys_ioprio_get","calls","sys_ni_syscall"
"__x64_sys_ioprio_get","calls","__se_sys_ioprio_get"
"__x64_sys_ioprio_get","calls","sys_ni_syscall"
"__x64_sys_ioprio_get","calls","__se_sys_ioprio_get"
"__x64_sys_ioprio_get","calls","sys_ni_syscall"
"__ia32_sys_ioprio_set","calls","__se_sys_ioprio_set"
"__ia32_sys_ioprio_set","calls","sys_ni_syscall"
"__ia32_sys_ioprio_set","calls","__se_sys_ioprio_set"
"__ia32_sys_ioprio_set","calls","sys_ni_syscall"
"__x64_sys_ioprio_set","calls","__se_sys_ioprio_set"
"__x64_sys_ioprio_set","calls","sys_ni_syscall"
"__x64_sys_ioprio_set","calls","__se_sys_ioprio_set"
"__x64_sys_ioprio_set","calls","sys_ni_syscall"
"numa_fill_memblks","calls","__builtin_constant_p"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","sort"
"numa_fill_memblks","calls","memblock_addrs_overlap"
"numa_fill_memblks","calls","__builtin_constant_p"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_469"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","__compiletime_assert_472"
"numa_fill_memblks","calls","sort"
"numa_fill_memblks","calls","memblock_addrs_overlap"
"__efi_soft_reserve_enabled","calls","efi_enabled"
"__efi_soft_reserve_enabled","calls","efi_enabled"
"__ia32_compat_sys_io_pgetevents_time64","calls","__se_compat_sys_io_pgetevents_time64"
"__ia32_compat_sys_io_pgetevents_time64","calls","sys_ni_syscall"
"__ia32_compat_sys_io_pgetevents_time64","calls","__se_compat_sys_io_pgetevents_time64"
"__ia32_compat_sys_io_pgetevents_time64","calls","sys_ni_syscall"
"__ia32_compat_sys_io_pgetevents","calls","__se_compat_sys_io_pgetevents"
"__ia32_compat_sys_io_pgetevents","calls","sys_ni_syscall"
"__ia32_compat_sys_io_pgetevents","calls","__se_compat_sys_io_pgetevents"
"__ia32_compat_sys_io_pgetevents","calls","sys_ni_syscall"
"__ia32_sys_io_getevents_time32","calls","__se_sys_io_getevents_time32"
"__ia32_sys_io_getevents_time32","calls","sys_ni_syscall"
"__ia32_sys_io_getevents_time32","calls","__se_sys_io_getevents_time32"
"__ia32_sys_io_getevents_time32","calls","sys_ni_syscall"
"__x64_sys_io_getevents_time32","calls","__se_sys_io_getevents_time32"
"__x64_sys_io_getevents_time32","calls","sys_ni_syscall"
"__x64_sys_io_getevents_time32","calls","__se_sys_io_getevents_time32"
"__x64_sys_io_getevents_time32","calls","sys_ni_syscall"
"__ia32_sys_io_pgetevents","calls","__se_sys_io_pgetevents"
"__ia32_sys_io_pgetevents","calls","sys_ni_syscall"
"__ia32_sys_io_pgetevents","calls","__se_sys_io_pgetevents"
"__ia32_sys_io_pgetevents","calls","sys_ni_syscall"
"__x64_sys_io_pgetevents","calls","__se_sys_io_pgetevents"
"__x64_sys_io_pgetevents","calls","sys_ni_syscall"
"__x64_sys_io_pgetevents","calls","__se_sys_io_pgetevents"
"__x64_sys_io_pgetevents","calls","sys_ni_syscall"
"__ia32_sys_io_getevents","calls","__se_sys_io_getevents"
"__ia32_sys_io_getevents","calls","sys_ni_syscall"
"__ia32_sys_io_getevents","calls","__se_sys_io_getevents"
"__ia32_sys_io_getevents","calls","sys_ni_syscall"
"__x64_sys_io_getevents","calls","__se_sys_io_getevents"
"__x64_sys_io_getevents","calls","sys_ni_syscall"
"__x64_sys_io_getevents","calls","__se_sys_io_getevents"
"__x64_sys_io_getevents","calls","sys_ni_syscall"
"__ia32_sys_io_cancel","calls","__se_sys_io_cancel"
"__ia32_sys_io_cancel","calls","sys_ni_syscall"
"__ia32_sys_io_cancel","calls","__se_sys_io_cancel"
"__ia32_sys_io_cancel","calls","sys_ni_syscall"
"__x64_sys_io_cancel","calls","__se_sys_io_cancel"
"__x64_sys_io_cancel","calls","sys_ni_syscall"
"__x64_sys_io_cancel","calls","__se_sys_io_cancel"
"__x64_sys_io_cancel","calls","sys_ni_syscall"
"__ia32_compat_sys_io_submit","calls","__se_compat_sys_io_submit"
"__ia32_compat_sys_io_submit","calls","sys_ni_syscall"
"__ia32_compat_sys_io_submit","calls","__se_compat_sys_io_submit"
"__ia32_compat_sys_io_submit","calls","sys_ni_syscall"
"__ia32_sys_io_submit","calls","__se_sys_io_submit"
"__ia32_sys_io_submit","calls","sys_ni_syscall"
